
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;P0;P1;BINARY;ASSOC;PSR;
;(s);;(type);;TYPE;
336;0.287816;1.03e-13;*;GRS:4FGL_J0631.5+1036[aab+22];HE[tsn+01],HE[waa+10];
337;0.297395;7.96e-14;*;GRS:4FGL_J0633.7+0632[aab+22],XRS:Swift_;NRAD[aab+22];
338;0.237099;1.10e-14;*;GRS:4FGL_J0633.9+1746[aab+22],XRS:1E0630;HE[aab+22];
339;3.253211;3.82e-15;*;*;*;
340;0.033856;*;*;OPT:Be-star;NRAD;
341;0.002869;3.51e-21;T2;XRS:[ska+16],GRS:[sbc+19];HE[sbc+19];
342;0.476000;*;*;*;*;
343;0.003946;*;*;*;*;
344;1.984597;3.17e-15;*;*;*;
345;*;*;*;*;RRAT[zhx+23];
346;*;*;*;*;RRAT[ttm18];
347;0.008853;4.92e-21;*;XRS:[ska+16];*;
348;0.657870;*;*;*;*;
349;0.903913;7.36e-16;*;*;*;
350;0.002510;*;*;GRS:4FGL_J0646.4-5455[aab+22];HE[aab+22];
351;1.234854;6.42e-15;*;*;*;
352;4.169000;*;*;*;*;
353;0.924054;1.52e-16;*;*;*;
354;0.004758;2.08e-20;ELL1;GRS:4FGL_J0652.9+4707[aab+22];HE;
355;1.214441;3.80e-15;*;*;*;
356;0.790000;*;*;*;RRAT[dcm+23];
357;1.224754;2.67e-17;*;*;*;
358;0.183157;3.19e-17;*;*;*;
359;0.563295;9.15e-15;*;*;*;
360;0.823701;1.44e-15;*;*;*;
361;0.384929;5.49e-14;*;GRS:4FGL_J0659.7+1416[aab+22],SNR:Monoge;HE[chmm89],HE[rfk+96],HE[;
362;0.637000;*;*;*;*;
363;0.195671;6.85e-19;BT;*;*;
364;0.665994;*;*;*;*;
365;0.034429;3.80e-19;DDH;*;*;
366;0.485268;1.26e-16;*;*;*;
367;1.214090;4.00e-16;*;*;*;
368;0.005491;1.49e-20;*;*;*;
369;0.974725;7.28e-15;*;*;*;
370;8.391116;6.98e-14;*;XRS:RX_J0720.4-3125,OPT:[kva07];XINS,NRAD;
371;0.015542;4.40e-20;BT;*;*;
372;0.711540;*;*;*;RRAT(?)[bbc+22];
373;0.424311;9.26e-17;*;*;*;
374;3.442308;2.93e-13;*;XRS:1RXS_J072559.8-261229[skk11];*;
375;0.251709;1.13e-13;*;GRS:4FGL_J0729.3-1445[aab+22];HE[mhl+02],HE[aab+22];
376;0.510160;1.90e-14;*;*;HE[sbc+19];
377;0.004090;6.02e-21;ELL1;*;*;
378;1.796250;5.70e-15;*;*;*;
379;1.772000;*;*;*;*;
380;0.156250;1.22e-14;*;GRS:4FGL_J0734.7-1559[aab+22];NRAD[aab+22];
381;4.862874;1.52e-13;*;*;RRAT;
382;0.320366;5.47e-15;*;*;*;
383;0.022699;1.76e-18;DDS;*;HE[cgm+07],HE[gkj+13];
384;2.773461;8.92e-16;DD;*;*;
385;6.827693;2.70e-14;*;*;*;
386;0.374920;1.62e-15;*;*;*;
387;0.002886;1.22e-20;ELL1;GRS:4FGL_J0741.0+6618[aab+22];HE[lsg+15],HE[aab+22];
388;1.730000;*;*;*;RRAT[dcm+23];
389;0.003139;6.69e-21;ELL1;*;*;
390;0.606191;3.71e-16;*;*;*;
391;0.166762;1.68e-14;*;GRS:4FGL_J0742.8-2822[aab+22];HE;
392;0.091996;9.56e-16;*;GRS:4FGL_J0744.0-2525[aab+22];NRAD[nie+20];
393;0.214839;2.19e-15;*;*;*;
394;2.791025;1.67e-14;*;*;*;
395;0.407701;6.78e-16;*;*;*;
396;1.174929;8.31e-17;*;*;*;
397;1.095452;9.77e-16;*;*;*;
398;1.174870;*;*;*;*;
399;0.915216;1.10e-16;*;*;*;
400;0.003479;7.79e-21;T2;GRS:4FGL_J0751.2+1808[aab+22];HE[wob+04],HE[aaa+09f];
401;2.093620;*;*;*;*;
402;1.442349;1.08e-15;*;*;*;
403;0.682265;1.62e-15;*;*;*;
404;1.092000;*;*;*;*;
405;1.091870;3.84e-16;*;*;*;
406;0.273973;2.76e-15;*;GRS:4FGL_J0802.1-5612[aab+22];NRAD[nie+20];
